Niveluri de educatie, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
In invatamantul primar, Total, Arges, Anul 2023, Numar persoane, 1348
In invatamantul primar, Total, Calarasi, Anul 2023, Numar persoane, 617
In invatamantul primar, Total, Dambovita, Anul 2023, Numar persoane, 1185
In invatamantul primar, Total, Giurgiu, Anul 2023, Numar persoane, 615
In invatamantul primar, Total, Ialomita, Anul 2023, Numar persoane, 548
In invatamantul primar, Total, Prahova, Anul 2023, Numar persoane, 1493
In invatamantul primar, Total, Teleorman, Anul 2023, Numar persoane, 607
In invatamantul primar, Total, Ilfov, Anul 2023, Numar persoane, 941
In invatamantul primar, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 4039
In invatamantul primar, Total, Dolj, Anul 2023, Numar persoane, 1384
In invatamantul primar, Total, Gorj, Anul 2023, Numar persoane, 695
In invatamantul primar, Total, Mehedinti, Anul 2023, Numar persoane, 532
In invatamantul primar, Total, Olt, Anul 2023, Numar persoane, 857
In invatamantul primar, Total, Valcea, Anul 2023, Numar persoane, 779
In invatamantul primar, Total, Arad, Anul 2023, Numar persoane, 1025
In invatamantul primar, Total, Caras-Severin, Anul 2023, Numar persoane, 565
In invatamantul primar, Total, Hunedoara, Anul 2023, Numar persoane, 792
In invatamantul primar, Total, Timis, Anul 2023, Numar persoane, 1573
In invatamantul gimnazial secundar ciclul 1, Total, Bihor, Anul 2023, Numar persoane, 1636
In invatamantul gimnazial secundar ciclul 1, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 1128
In invatamantul gimnazial secundar ciclul 1, Total, Cluj, Anul 2023, Numar persoane, 1892
In invatamantul gimnazial secundar ciclul 1, Total, Maramures, Anul 2023, Numar persoane, 1612
In invatamantul gimnazial secundar ciclul 1, Total, Satu Mare, Anul 2023, Numar persoane, 1173
In invatamantul gimnazial secundar ciclul 1, Total, Salaj, Anul 2023, Numar persoane, 903
